                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8627,                 3.1261,                 1.9742,                0.69728,                0.41854,                0.43505,                0.14459,                 1.9654,                 3.4492,                 1.8192,               0.000325,               0.000325,               0.000325
                      1,                 1.5314,                 1.6822,                 1.5822,                0.40814,                0.59255,                0.45341,                0.17547,                 1.8856,                 4.0621,                 1.7364,             0.00065157,             0.00065157,             0.00065157
                      2,                 1.5409,                 1.6044,                 1.5845,                0.61102,                 0.5203,                0.51322,                0.24317,                  1.814,                 2.6332,                 1.7476,               0.000967,               0.000967,               0.000967
                      3,                 1.5079,                 1.4918,                 1.5555,                0.48969,                0.42983,                0.40363,                0.17214,                 1.9785,                 2.3571,                 1.8331,              0.0011881,              0.0011881,              0.0011881
                      4,                 1.5231,                 1.4002,                 1.5674,                0.57406,                0.38674,                0.38644,                0.13317,                  2.495,                  2.921,                 2.5728,              0.0011881,              0.0011881,              0.0011881
                      5,                 1.5531,                 1.3581,                 1.5928,                0.76581,                0.36525,                0.49919,                0.20924,                 1.9371,                 2.3167,                 1.7693,              0.0011675,              0.0011675,              0.0011675
                      6,                 1.5012,                 1.2854,                  1.528,                0.67341,                0.67499,                 0.6428,                0.31648,                 1.7545,                 1.4839,                 1.5705,              0.0011469,              0.0011469,              0.0011469
                      7,                 1.5033,                  1.227,                 1.5299,                0.69328,                0.65975,                0.68444,                0.29369,                 1.9035,                 1.3561,                 1.6204,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.4181,                 1.1803,                 1.4806,                 0.6183,                0.57736,                 0.5935,                0.25485,                 2.0926,                 1.5275,                 1.9177,              0.0011056,              0.0011056,              0.0011056
                      9,                 1.4449,                 1.2013,                 1.5124,                0.68431,                0.57642,                0.66677,                0.29808,                 1.9224,                  1.332,                 1.7459,               0.001085,               0.001085,               0.001085
                     10,                 1.4055,                 1.1545,                 1.4738,                0.71048,                0.70163,                0.74978,                0.35114,                 1.7217,                 1.1985,                 1.5424,              0.0010644,              0.0010644,              0.0010644
                     11,                 1.3366,                 1.0698,                  1.412,                0.84759,                0.65933,                0.75165,                0.37344,                 1.6979,                 1.1993,                 1.5299,              0.0010438,              0.0010438,              0.0010438
                     12,                  1.303,                 1.0452,                 1.3922,                0.80132,                0.69445,                 0.7883,                 0.3872,                 1.6757,                 1.1527,                 1.5028,              0.0010231,              0.0010231,              0.0010231
                     13,                 1.3228,                 1.0175,                 1.4052,                0.83645,                0.67108,                0.80111,                0.42165,                  1.571,                0.97202,                 1.4471,              0.0010025,              0.0010025,              0.0010025
                     14,                  1.289,                 1.0293,                 1.3889,                0.78125,                 0.6576,                0.77295,                0.36126,                 1.8341,                 1.0573,                 1.6458,             0.00098187,             0.00098187,             0.00098187
                     15,                 1.2611,                0.95723,                 1.3928,                0.76623,                0.68112,                0.71008,                0.34431,                 1.8989,                 1.1205,                 1.6175,             0.00096125,             0.00096125,             0.00096125
                     16,                 1.2308,                 0.9328,                 1.3385,                0.78318,                0.62022,                0.68249,                0.31603,                 1.8568,                 1.1477,                 1.6695,             0.00094062,             0.00094062,             0.00094062
                     17,                 1.2174,                0.92717,                 1.3389,                0.80642,                0.69501,                0.77238,                0.35639,                   1.92,                 1.0104,                 1.7721,                0.00092,                0.00092,                0.00092
                     18,                 1.2013,                0.89585,                 1.3277,                0.78348,                0.70448,                0.77298,                0.39904,                 1.7196,                0.98625,                 1.6199,             0.00089938,             0.00089938,             0.00089938
                     19,                 1.2053,                0.88971,                 1.3297,                0.72089,                0.78532,                0.79005,                0.42497,                 1.6399,                0.90415,                 1.4906,             0.00087875,             0.00087875,             0.00087875
                     20,                 1.1543,                0.82905,                 1.3025,                0.80662,                0.70923,                0.77792,                0.39799,                 1.6907,                0.94432,                 1.4978,             0.00085813,             0.00085813,             0.00085813
                     21,                 1.1803,                0.85959,                  1.322,                0.82538,                0.77831,                 0.8013,                0.38582,                  1.853,                0.87567,                 1.6215,              0.0008375,              0.0008375,              0.0008375
                     22,                 1.1928,                0.81442,                 1.3049,                0.82669,                0.75307,                0.77374,                0.38959,                 1.8046,                0.92741,                  1.632,             0.00081688,             0.00081688,             0.00081688
                     23,                 1.1232,                0.76384,                 1.2646,                0.84246,                0.80652,                0.85815,                0.42626,                 1.7974,                0.88428,                 1.5956,             0.00079625,             0.00079625,             0.00079625
                     24,                 1.0935,                0.76932,                 1.2593,                0.74158,                0.74938,                0.76477,                0.39512,                 1.6198,                0.96404,                 1.5171,             0.00077563,             0.00077563,             0.00077563
                     25,                 1.1439,                0.78845,                 1.3025,                  0.841,                0.70848,                0.80635,                0.43897,                 1.5424,                0.97015,                 1.4092,               0.000755,               0.000755,               0.000755
                     26,                 1.0574,                0.74758,                 1.2349,                 0.8542,                 0.7594,                0.83663,                0.43891,                 1.6031,                0.90327,                 1.4476,             0.00073437,             0.00073437,             0.00073437
                     27,                 1.0743,                0.72353,                 1.2377,                0.81673,                0.68252,                0.77241,                0.36861,                 1.8447,                0.97414,                 1.6775,             0.00071375,             0.00071375,             0.00071375
                     28,                 1.0378,                0.73625,                 1.2279,                0.78463,                0.72862,                0.82434,                0.44286,                 1.6125,                0.86533,                 1.4731,             0.00069313,             0.00069313,             0.00069313
                     29,                   1.01,                0.68289,                 1.1749,                0.87087,                 0.8086,                0.86312,                0.47426,                 1.5937,                0.79218,                 1.4753,              0.0006725,              0.0006725,              0.0006725
                     30,                0.99359,                0.68122,                 1.1936,                0.79166,                0.76602,                0.85461,                0.48344,                  1.567,                 0.8547,                 1.4246,             0.00065188,             0.00065188,             0.00065188
                     31,                0.99447,                0.66318,                 1.1829,                  0.836,                0.74275,                0.85492,                0.50747,                 1.4565,                0.78477,                 1.3534,             0.00063125,             0.00063125,             0.00063125
                     32,                0.95643,                0.63238,                 1.1597,                0.85859,                0.78704,                0.86547,                0.48334,                 1.5418,                0.82751,                 1.4196,             0.00061062,             0.00061062,             0.00061062
                     33,                 1.0089,                0.66178,                 1.1903,                0.85291,                0.77048,                0.81367,                0.44269,                 1.6146,                0.85306,                 1.4976,                0.00059,                0.00059,                0.00059
                     34,                 1.0024,                0.65665,                 1.1973,                0.94584,                0.74706,                0.87375,                0.43587,                 1.7105,                0.81023,                 1.5591,             0.00056938,             0.00056938,             0.00056938
                     35,                0.92475,                0.62845,                 1.1428,                0.82764,                0.77645,                0.81735,                0.45089,                 1.6035,                0.90509,                 1.4912,             0.00054875,             0.00054875,             0.00054875
                     36,                0.92059,                0.61409,                 1.1453,                0.87035,                0.76295,                0.83244,                0.46627,                 1.6124,                0.85272,                 1.5078,             0.00052812,             0.00052812,             0.00052812
                     37,                0.88532,                0.59718,                 1.1231,                0.81931,                0.76468,                0.78718,                0.44557,                 1.6181,                0.83115,                 1.5185,              0.0005075,              0.0005075,              0.0005075
                     38,                0.90576,                0.59622,                 1.1559,                0.84123,                0.75711,                0.82726,                0.48141,                 1.5145,                0.77393,                 1.4341,             0.00048687,             0.00048687,             0.00048687
                     39,                 0.8602,                0.58539,                 1.1117,                0.84007,                0.73872,                0.79609,                0.44727,                 1.5296,                0.82431,                 1.4398,             0.00046625,             0.00046625,             0.00046625
                     40,                0.84729,                0.56663,                 1.1049,                0.82335,                0.68032,                 0.7798,                0.43975,                 1.6481,                 0.8689,                 1.5385,             0.00044563,             0.00044563,             0.00044563
                     41,                0.87492,                0.57843,                 1.1296,                0.77511,                0.79629,                0.82766,                0.45716,                   1.57,                0.79538,                 1.4946,               0.000425,               0.000425,               0.000425
